video_id,video_title,num_collaborators,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,link
6KAAzTyTzNo,⁣BEST CHEST WORKOUT FOR WOMEN  #workout4d,0,,,,,,https://www.youtube.com/watch?v=6KAAzTyTzNo
mo3BfHifXb0,"BIA PEITA E COLOCA RODRIGUINHO NO PAREDÃO, BIN SE SALVA NA BATE E VOLTA E TEREMOS REJEIÇÃO?",0,,,,,,https://www.youtube.com/watch?v=mo3BfHifXb0
Uhx7mQBCShA,Republicans And Democrats Debate Resolution ,0,,,,,,https://www.youtube.com/watch?v=Uhx7mQBCShA
z8MFi98JB2M,Friend who HITS you while LAUGHING 😆 #shorts,0,,,,,,https://www.youtube.com/watch?v=z8MFi98JB2M
Ihjdriip-Fc,Cricket na Uyiru 🫶 Gethu naa fire 🔥 #labberpandhu #policouple #tamilmalayalamcouple❤️ #cricketlove,0,,,,,,https://www.youtube.com/watch?v=Ihjdriip-Fc
2r9fxcJHZ00,Golden State Warriors Smile Challenge | Episode 3,0,,,,,,https://www.youtube.com/watch?v=2r9fxcJHZ00
XoQCVBSgO_M,when you’re trying to bond with your father-in-law…. 💀,0,,,,,,https://www.youtube.com/watch?v=XoQCVBSgO_M
3vouMVIFXWE,"Ever wonder how a young, liberal heart slowly turns Republican?",0,,,,,,https://www.youtube.com/watch?v=3vouMVIFXWE
b0sB6oXwwZE,GRWM ✨,0,,,,,,https://www.youtube.com/watch?v=b0sB6oXwwZE
D4FYLaYuuYc,SUMMER DAYS are upon us!,0,,,,,,https://www.youtube.com/watch?v=D4FYLaYuuYc
VVHQvhMAAiE,Vivek Ramaswamy Responds To GOP Speeches In Support Of Kamala Harris At The DNC: ‘We Don’t Care’,0,,,,,,https://www.youtube.com/watch?v=VVHQvhMAAiE
UsdoPbWM_Yk,What A Conversation With Coast Guard Is REALLY Like #shorts,0,,,,,,https://www.youtube.com/watch?v=UsdoPbWM_Yk
WvnznCuGIFY,BEST KISSES of TikTok !!💋,0,,,,,,https://www.youtube.com/watch?v=WvnznCuGIFY
Bulvuq80QKw,Every Night Something HAUNTED Is RUNNING Around Our House! PART 2 #shorts,0,,,,,,https://www.youtube.com/watch?v=Bulvuq80QKw
jh2GDyxVb48,JUST IN: President Biden Previews New Ukraine Assistance Efforts,0,,,,,,https://www.youtube.com/watch?v=jh2GDyxVb48
dl8T4wUOKLQ,How does a telescope work??,1,reece_batts,,,,,https://www.youtube.com/watch?v=dl8T4wUOKLQ
Ocp6HWNhr5M,Left ro Right (Funny) #shorts,0,,,,,,https://www.youtube.com/watch?v=Ocp6HWNhr5M
wJ75PSV1NpE,Wearing vs styling ✨ Which outfit would you wear? SAVE the ,0,,,,,,https://www.youtube.com/watch?v=wJ75PSV1NpE
U7d1w8RL-5w,Who is Your Best⁉ Pinned Your Cmt - Tiktok meme reaction #shorts #funny #funnyshorts,0,,,,,,https://www.youtube.com/watch?v=U7d1w8RL-5w
3Oq1XucCnoQ,Chiều Nay Ăn Phở Bò,0,,,,,,https://www.youtube.com/watch?v=3Oq1XucCnoQ
wsKSQbQV-U8,Karine Jean-Pierre Asked About Possibility Of ,0,,,,,,https://www.youtube.com/watch?v=wsKSQbQV-U8
9KwfOpn3qgE,This is a complexity leaf...🤣funny video...#funny #Comedy #trending,0,,,,,,https://www.youtube.com/watch?v=9KwfOpn3qgE
ONED9WitntM,Here Come The PJ Riders | PJ Masks LIVE 24/7 🔴 | Kids Cartoon | Video for Kids #pjmasks,0,,,,,,https://www.youtube.com/watch?v=ONED9WitntM
CbR4Ez5NanE,La Leyenda de los diablos: la contraparte de los Angeles en el Makai / DB Daima - Dragon Ball Super,1,MachWing,,,,,https://www.youtube.com/watch?v=CbR4Ez5NanE
1L9Nuwxi7V0,PERTAMA KALI CINTA NGAJAK PACAR BULE MAIN DI PASAR MALAM‼️,0,,,,,,https://www.youtube.com/watch?v=1L9Nuwxi7V0
BvcbWgFgJuM,Biden: ,0,,,,,,https://www.youtube.com/watch?v=BvcbWgFgJuM
_pAGa8IJqx4,Big Heart Prize for the Winner! #prize #bigheart #sweet #money #cash,0,,,,,,https://www.youtube.com/watch?v=_pAGa8IJqx4
sQt8prHoo_E,WATCH: Israeli Police Transfer Body Of Hamas Leader Yahya Sinwar To Forensic Center,0,,,,,,https://www.youtube.com/watch?v=sQt8prHoo_E
_2GRVAYnvZc,The Most Important Story in Human History,0,,,,,,https://www.youtube.com/watch?v=_2GRVAYnvZc
